year,year_month,product_category_name_english,order_items_count,distinct_orders,revenue,avg_freight_ratio,avg_review_score,late_delivery_rate
2017,2017-03,kitchen_dining_laundry_garden_furniture,3,3,169.05,0.33069724088332253,4.0,0.0
2017,2017-03,luggage_accessories,38,35,7378.39,0.19898003067348402,4.578947368421052,0.02857142857142857
2017,2017-03,market_place,17,17,2075.96,0.16982801374887352,4.411764705882353,0.058823529411764705
2017,2017-03,music,1,1,42.51,0.3415666901905434,5.0,0.0
2017,2017-03,musical_instruments,10,9,1887.51,0.32127984002414683,2.7,0.2222222222222222
2017,2017-03,office_furniture,78,60,14463.49,0.1873837729932939,3.2,0.06666666666666667
2017,2017-03,perfumery,106,104,21595.4,0.13512266034409362,4.171428571428572,0.028846153846153848
2017,2017-03,pet_shop,45,41,9151.69,0.1740762432109541,4.333333333333333,0.07317073170731707
2017,2017-03,signaling_and_security,1,1,91.23,0.17790200591910554,1.0,0.0
2017,2017-03,small_appliances,31,31,12028.55,0.1396595664945499,4.7,0.03225806451612903
2017,2017-03,sports_leisure,199,171,31309.6,0.21432702121785935,4.211340206185567,0.03508771929824561
2017,2017-03,stationery,56,56,6994.89,0.2063675457650316,4.6,0.0
2017,2017-03,tablets_printing_image,5,5,587.91,0.15610788125766492,3.2,0.2
2017,2017-03,telephony,173,159,10775.79,0.32921524663584323,3.8313953488372094,0.03773584905660377
2017,2017-03,toys,103,100,14354.03,0.18932166579153692,4.421568627450981,0.03
2017,2017-03,watches_gifts,81,76,28066.55,0.14130862051919588,4.1375,0.02631578947368421
2017,2017-03,Unknown,63,57,7791.09,0.22376078441206348,3.9,0.08771929824561403
2017,2017-04,air_conditioning,16,14,2873.57,0.16285781590762022,4.5,0.0
2017,2017-04,art,1,1,147.17,0.1852959162872868,4.0,0.0
2017,2017-04,audio,11,9,1103.95,0.15233973518931895,3.5454545454545454,0.1111111111111111
2017,2017-04,auto,88,81,17799.93,0.18485717870284782,3.8522727272727275,0.07407407407407407
2017,2017-04,baby,51,48,4862.85,0.22076178640007374,3.7450980392156863,0.10416666666666667
2017,2017-04,bed_bath_table,277,234,29301.59,0.2129822302545776,3.985239852398524,0.05128205128205128
2017,2017-04,books_general_interest,12,12,1142.79,0.23103427232483678,4.666666666666667,0.0
2017,2017-04,books_imported,1,1,33.43,0.40203410110679033,1.0,1.0
2017,2017-04,books_technical,1,1,86.92,0.13713759779107226,4.0,1.0
2017,2017-04,christmas_supplies,1,1,93.97,0.2657231031180164,5.0,0.0
2017,2017-04,cine_photo,2,2,166.31,0.28844846320432965,5.0,0.5
